start	end	text
426160	435040	coin flips be independent of each other? Yes, indeed, they would be independent of each other.
435040	440160	But what do you think about the second one? If you don't know the value of x, are they independent
440160	446880	of each other? They actually aren't independent of each other. Because as you flip the coin more
446880	452320	times, you learn more about what the value of x might be. And so that changes your prediction of
452320	459440	what future events are more likely to be. So overall, for the case where you know x, it's very
459440	464960	easy to calculate that they're independent. This is just the formula for independence, probably
464960	471920	of f1 equals heads, probably. And the joint of f1 being heads and f2 being heads given x is just
471920	478320	x times x, which is also equal to the probability of f1 equals heads given x times probably f2 equals
478320	484080	heads given x. So since these two things are equal, the joint distribution is the product of the
484080	489760	marginal distributions, that means the two are independent. But in the case of when x is not known,
489760	496240	it's basically like successive flips, you update your belief of what x's value is. And so they're
496240	502000	no longer independent of each other. So yeah. All right. It's a tricky question, for sure.
503120	510800	All right. So going from one coin to a bag of coins, this is question 14.1, say we have a bag of
510800	518640	three biased coins, a, b and c, with probabilities of coming up heads 20%, 60%, and 80% respectively.
519520	523920	One coin is drawn randomly from the bag with equal likelihood of drawing each of the three coins,
523920	528960	and then the coin is flipped three times to generate three outcomes, call them x1, x2, x3.
529760	534400	Question one is draw the Bayesian network corresponding to this setup and define the necessary
534400	539680	conditional probability tables. Then question two, calculate which coin was most likely to have been
539680	546240	drawn from the bag if the observed flips come out heads twice and tails once. So first off, can anyone
546240	549840	say what the describe what the Bayesian network for this would look like?
554960	559040	It looks like you do three, or you do four different things in this process.
559040	565040	You first you pick a coin, you draw a coin from a bag, and then you do three random coin flips.
565040	571040	So you'll have a network with four things on it. And I think here I'll show you. It would look
571120	577440	like this. Your first action would be drawing the coin. And so the coin has the random probabilities
577440	581680	here where there are the three possible coins you can draw each with probability one-third.
582800	589840	And then you have the three separate coin flips that are given the coin that you drew,
589840	594960	the conditional probability of getting heads on each of these coin flips depends on the coin
595040	601360	that you drew from the bag. So if you had coin A, that said 20% heads, coin B is 60% heads,
601360	607920	coin C is 80% heads. So then you have the three coin flips, X1, X2, X3. And this is how you could, yes.
615520	620880	So it's just a way of representing your random variables and how they interact with each other.
620880	631360	So this is just just a representation of that. Yeah, the variables could be, however you,
631360	636080	they could be continuous variables. They could be not even discrete. They could be like
636960	642160	Gaussian distribution. And then you could have the downstream variables could be dependent on
642160	648480	whatever value that that continuous value has. And you could have variables that are conditioned on
648480	653360	continuous values as opposed to being conditioned on discrete values. In this case, they're all discrete
653360	662480	examples though. So yeah. Okay, so then the second question says calculate which coin was most
662480	668560	likely to have been drawn from the bag if the observed flips come up heads twice and tails once.
669200	673440	Just as a guess, does anyone want to guess which coin is probably the most likely?
674320	689440	Yeah, C says probability 80%. So personally, I would think it might be B because B is 60%
690160	698720	and it came up 66.66666 of the time it came up with heads. So that would make it me think that
698720	704640	B is probably the most likely one. But we can test that mathematically. So overall,
706560	710640	so does anyone have a guess on what would be a good way to test this mathematically?
713120	720880	Well, wind and doubt, Bayes rule is usually a good thing to go with. So we want to calculate
720880	726640	essentially given two heads in one tail. We want to know what is the probability distribution of
726640	733200	the three coins or what's the likelihood of the three coins given that observation. So we can
733200	740480	instead rephrase this as find C with the greatest posterior probability. So probability of C given
740480	748000	two heads one tail. And so now we have probability of C given two heads one tail. Using Bayes rule,
748000	753600	we can invert that and we say through Bayes rule, probability of C given two heads one tail equals
753600	759760	probability two heads one tail given C times probability of C divided by probability of two heads
759760	764880	in one tail. But now at this point, we can actually start making things easier because we don't
764880	770000	actually care exactly what the right probability is. We only were asked to determine which coin was
770000	776720	the most likely. So for one thing, this term probably two heads one tail. That's the overall
776720	782320	probability. It's not conditioned on the coin. And so that's a constant. And that's a constant we can
782320	789200	just essentially factor out and now say that probably of C given two heads one tail is proportional
789200	796240	to probability two heads one tails given C times probability of C. And again, probability of C was
796240	800560	one third for all three coins because we said that they were all equally likely. So that's another
800560	806080	term that we can just factor out. So overall, we can say that the probability of C given two heads
806080	812320	one tail is actually proportional to the probability of two heads one tail given C. So now we just
812320	817440	have to find which coin gives the highest value for that term and that will tell us which coin was
817440	824240	the most likely one. So this is something we can compute directly. So probably x1 equals tails,
824240	831120	x2 equals heads, x3 equals heads given coin A. Well, those three flips are independent of each other.
831120	839520	So we can separate this into the three subterms multiplicatively. And then we know from our
839520	847200	tables that for A, it's a 20% chance of being heads and an 80% chance of being tails. So we would
847200	856960	have 0.8 times 0.2 times 0.2. So 0.032. So this does not tell us the exact probability of C given
856960	861600	two heads two tails. But we know that it's proportional to this number. And then we can do the
861600	869280	same thing and compute that for the other two coins. So for coin B, we get 0.432. And for coin C,
869280	878000	we get 0.384. So from this, we can see that given we got two heads one tail, the least likely coin
878000	884560	is A by a significant margin. And then the other two coins are a lot closer to each other. So coin C
884560	893120	is fairly close. But with a 0.384 versus 0.432, this shows that the second coin, coin B,
893120	897360	is the one that was most likely to have generated the sequence of flips that we observed.
898560	902400	So does this make sense? Do you guys have any questions on this?
902400	914800	Okay, then we can move along. All right, then we'll do another problem with Bayesian networks.
915680	925680	This is problem 14.5, the museum alarm problem. So it says consider the Bayesian burglary network
926400	931840	where the museum alarm can be activated by a burglar or by an earthquake. And so they give you
931840	938960	this network that shows the conditional distribution of all these variables. So there's a small
938960	946720	likelihood 0.001 that a burglary might happen at this museum. And there's a 0.002 chance
947680	952480	that there might be an earthquake at this museum. And then both of those variables could
952480	958320	influence the likelihood of an alarm being triggered. So there's a 95% chance of the alarm
958320	969040	triggering if both events occur. A 94% chance if only the burglar happens. And a 0.99% chance
969040	975040	if a earthquake happens and a small 0.001% chance of a false alarm if neither of these events
975040	979760	are occurring. And then beyond that, there are two additional variables. Say there are two
979760	985440	night guards at the museum. One named John and one named Mary and each of them may call the police
985440	993680	if they hear the alarm go off. So given this Bayesian network, we have a couple questions we want
993680	1000000	to look at. First one, if no evidence is observed, are burglary and earthquake independent?
1000000	1007120	Prove this from the numerical semantics and from the topological semantics. So looking at the
1007120	1014160	network, can we conclude that if we have no observations that burglary and earthquake are
1014160	1019840	independent of each other? Anyone want to guess?
1026400	1031840	Yes. Yes. They are definitely independent of each other. So we can see that they're not
1031840	1037680	conditioned on each other. They don't have a shared parent. So they are definitely independent
1037680	1044720	of each other from the topology of the graph. We can see that. But we can also prove this numerically.
1044720	1050160	So from the numerical semantics, if you were going to break this down and write out the
1050160	1056880	probabilities for everything, the probability, the joint probability of the burglary and the
1056880	1062320	earthquake, that could be equal to the joint probability of everything put together,
1062320	1067600	summed over all of the other variables that we don't care about. So the alarm, John and Mary
1067600	1074400	calls you sum over a, j and m, all of the options for those variables. And then, well, that joint
1074400	1079840	distribution, we can decompose it based on what we know about the conditional probabilities. So
1079840	1085040	the probability of b just becomes b by itself because it's not conditioned on anything else.
1085040	1090480	And it's the same thing goes for e. And then the probability of a is conditioned on b and e.
1090480	1096240	And then j is conditioned on a. And so is m, conditioned on a. And then moreover,
1096960	1102640	now that we have this broken out, these terms right here, these two have no dependence on a,
1102640	1108400	j and m. So they can pop out to the front outside of the summation. So then that leaves us these terms
1108400	1114800	on the inside. And then we can break these down further since this term doesn't depend on j.
1114800	1120880	And this term only depends on j. And this one depends on m. So you'd have the summation of j
1121760	1127840	over the options for j of j given a, the alarm status, and summation of m over m given a.
1128400	1133760	And thankfully, fortunately, due to the properties of probability distributions,
1134480	1139040	all of this, this will just sum to one because when you sum over all the options for
1139040	1143760	probability distribution, it will always sum to one. So this term will just go away.
1143760	1149200	This term will just go away. And then this term here will also just go away because it will
1149200	1154160	also be summing over a probability distribution that just sums to one. So in the end,
1154160	1159600	all of those things will just factor out. And you'll be left with the probability of b comma e
1159600	1164720	is equal to the probability of b times the probability of e, which again, this is the definition of
1164720	1170160	independence of variables. So right there, we've shown that numerically, you can show that they're
1170160	1174880	independent of each other, given the, using the sum going constraint for distribution,
1175360	1179280	yeah, okay, top. And topologically, e is independent of its non-descendants,
1180160	1184960	eb, given its parents, which is the empty set. So b and e are absolutely independent.
1185600	1191440	Okay, so now the second question. And this, I think, is a fairly important one to think about
1192800	1198480	with the Bayesian networks. If we observe that the alarm is true, our burglary and earthquake
1198480	1203360	independent. Justify your answer by calculating whether the probabilities involved
1203360	1209760	satisfy the definition of conditional independence. So thinking back to the lectures on
1210720	1217120	Bayesian networks, once you have observed that the alarm is true, our burglary and earthquake
1217120	1222400	still independent. Yes, you got it. They're not in, they are no longer independent.
1223440	1228720	The fact that you've observed the alarm now kind of links these two parent variables together
1228720	1234640	and they're now dependent on each other. So, and we can even show that mathematically by
1234640	1240800	breaking down all of the math. I mean, it's a lot of math to break down by hand, but you know,
1240800	1243680	what you would want to show, if you were going to show that they were independent,
1243680	1250240	you would want to show that probability of b comma e given a is equal to probability of b given a
1250240	1254800	times probability of e given a. This would be true if they're independent, but we'll see that
1254880	1261840	they're not, but we can compute the left side probability of e given a. We can use Bayes rule again
1261840	1267680	to reverse this and we'll have a normalizing term alpha that again has all of these values,
1267680	1271840	and you can, you can do all the math here and break it down and you can compute all of this,
1271840	1277200	but in the end, what you get at the end is that the left side probability of b comma e given a
1277200	1281600	would be this value, and then the product of these two sides would give you a completely
1281600	1287600	different value, and therefore, this shows that b and e are not conditionally independent given a.
1288240	1300800	So, does that make sense to everyone? Cool. All right. Okay, then let's move on from chapter 14
1300800	1309920	and go to chapter 16. This is problem 16.6, which is about the surprise candy company,
1310560	1314320	and they say the surprise candy company makes candy in two flavors.
1315360	1322800	75% are strawberry flavor and 25% are anchovy flavor. Each new piece of candy starts out with a
1322800	1328320	round shape, and as it moves along the product line, machine randomly selects a certain
1328320	1335520	percentage to be trimmed into a square, then each piece is wrapped in a paper wrapper, or sorry,
1335520	1341520	in a wrapper whose color is chosen randomly either red or brown. 70% of the strawberry candies are
1341520	1348320	round and 70% have red wrappers, while 90% of the anchovy candies are square and 90% have brown
1348320	1354560	wrappers. All candies are sold individually in sealed identical black boxes, where you can't,
1354560	1360080	you basically, when the box is sealed, you can't see the wrapper, you can't see the candy shape,
1360080	1365200	and so the idea is that, you know, when you open the box, that will give you more information about
1365200	1369680	what the candy might be, but you wouldn't know exactly what the flavor is until you actually eat it.
1370560	1375120	But now it says, now you the customer have just bought a surprise candy at the store,
1375120	1382000	but have not opened the box yet. So to start with, they ask, given these three networks,
1382000	1387840	these three Bayesian networks, which networks can correctly represent the probability distribution,
1387840	1394960	the joint probability distribution of the flavor wrapper in the shape. Which of these would you
1394960	1399040	oh yeah, and then oh sorry, second question, which is the best representation for this problem?
1399680	1406160	So intuitively, what anyone have any preference or inclination between these?
1411680	1419680	Okay, well, going off of the story, it said that they said they made in strawberry or anchovy flavor,
1419760	1425920	and then later they say strawberry candies have a certain probability distribution based on
1427520	1438080	70% round, 70% red, 90% square, 90% brown. So intuitively, the third option is the one that most
1438080	1444560	closely matches the story. However, the second option, number two, because it's a fully connected
1444560	1451280	network, technically you could use it to represent any problem, like just any problem. You could
1451280	1457520	rearrange the variables in some way that you could fit it to work with that network. However,
1457520	1462880	the third one, it matches the story better, so it's probably the best one to work with in this
1462880	1469760	context. And then finally, the first one actually can't represent the problem, because its structure
1469760	1475520	implies that the wrapper color and shape are marginally independent, which is not true. So in other
1475520	1481120	words, number one, doesn't work, number two, could work, but it's probably suboptimal, and number
1481120	1486720	three is probably the best one given the arrangement of variables that we've talked about in the
1486720	1495840	story so far. Yes. Number two said it fits it fully connected. Yes. Yeah, so I mean, because of
1495840	1502800	a base rule, you could always invert the probabilities, right? So if one thing is certain distribution
1502800	1507600	based on another thing, you could invert it and have it be the other way. So technically, you could,
1507600	1512640	even though we talked about flavor first, you could think of it as being in the opposite order
1512640	1518800	if you wanted to. But in this case, it'll be easiest if we do number three, because it'll be closer
1518800	1526720	to the original story. Okay. So then they said number three does network one assert that
1526720	1531680	probability of wrapper given shape, people's probably wrapper i.e. probably wrapper does not depend
1531680	1538080	on shape. Yes, it implies that from the structure of the graph, which is again, not true. We know
1538080	1544240	it's not true. So it doesn't work for this problem. And then the next question says, what is the
1544240	1549600	probability that your candy has a red wrapper? Okay. So this is a fairly easy problem to answer.
1549600	1555360	You just have to break it down into its subparts. So once we know the flavor, we know the probability
1555360	1561280	that's wrapper will be rather brown. So we can just marginalize the flavor out i.e. some over
1561920	1567520	the flavor options is what they mean by that. So the probably that the wrapper is red would be equal
1567520	1574000	to summing over all options of f. The probability that the wrapper is red and the flavor is f. So then
1574000	1578960	you could do the conditional probability from the joint. So this would be the probability that the
1578960	1585280	flavor is f times the probability that the wrapper is red given that the flavor is f. And from the
1585280	1595040	problem, we know that they said what they said 75% are strawberry and 70% of strawberry are red and
1595040	1603920	25% are anchovy and they said 10% or 90% of anchovier browns, so 10% would be red. So overall
1604160	1614240	you would have 75 times 0.7 plus 0.25 times 0.1 and so it would come out to 0.55. It would be the
1614240	1625280	overall chance of having a red wrapper. Okay. All right, so next question. This one I think is a
1625280	1632240	little bit harder. In the box, so suppose you open the box and now you observe that you have a
1632240	1638960	round candy with a red wrapper. Now what is the probability that it is a strawberry flavored candy?
1640160	1646480	So this one is now going from the initial problem where we had no information and about what the
1646480	1651600	candy looked like. And now we've opened the box and we get to update our information and that
1651600	1659200	gives us some additional clues about what we think are our probability of the candy is. So to start,
1659200	1664400	we could compute the two joint distributions for the two flavors or the joint probabilities for
1664400	1669680	the two flavors. So we get to start by saying the probability that the flavor equals strawberry
1669680	1674240	and the shape is round and the wrapper is red. Well, that would be the probability that the flavor
1674240	1678880	is strawberry times the probability the shape is round given the flavor is strawberry and the
1678880	1684560	probability that the wrapper is red given the flavor is strawberry. And all three of these are terms
1684720	1692560	that we have from the original story. So this is very easy to compute. So we had 0.75, 0.7, 0.7. We
1692560	1697840	get 0.3675. And it's very easy to compute this with the numbers that we had from the original
1697840	1704240	story. And then in addition to that, we would need to compute the probability that the flavor is
1704240	1710080	anchovy and the shape is round and the wrapper is red. So again, same thing except we swap out this
1710080	1715200	one term. And again, these are numbers basically more or less that we have from the original story.
1715200	1723440	So you'd have 0.25 times 0.1 times 0.1, so 0.2, 0.0025. So obviously, one thing to point out here
1723440	1733760	is that this number and this number, when you add them together, they don't sum to one. So why is that?
1740320	1749600	Exactly. That's exactly right. This is only looking at two options. The joint options of
1749600	1754480	flavors strawberry and these things and flavors anchovy and these things. So these are not the
1754480	1760560	conditional probabilities. These are the overall joint probabilities. But if we wanted to then get
1760560	1766560	from these numbers to the actual conditional probability numbers, where we would want to know
1766560	1772720	what's the probability flavor equals strawberry given shape is round, wrapper is red, what would we
1772720	1784080	have to do? All you have to do is normalize. So all you have to do is normalize. These are the
1784080	1791360	two options basically. Either the shape is strawberry or anchovy. We know that the other things
1791440	1796640	the wrapper is red and the shape is red. So all you have to do is add these two numbers together.
1796640	1805520	So that would give you 0.37 and that becomes your normalization term. So if you then divide 0.3675
1805520	1814400	divided by 0.37, then you've normalized and then you have your conditional probability distribution
1814400	1819440	which tells you that the probability that your flavor is strawberry given the shape is round
1819440	1828720	and the wrapper is red is actually 0.9932. So very high probability of having a strawberry candy
1828720	1836880	at this point. Although if you think originally all we knew was that 75% of candies were strawberry.
1836880	1842240	But now that we've observed the candy and we've seen the wrapper, we can now update our prior
1842560	1848720	posterior to know that there's a 99% chance above a 99% chance that it's strawberry.
1849920	1856480	So I think there's one more question here. Okay and this last one says an unwrapped strawberry
1856480	1863040	candy is worth S dollars on the open market and an unwrapped anchovy candy is worth A dollars.
1863040	1870160	Write an expression for the value of an unopened candy box. Does anyone have any inclination on this?
1873040	1878560	Just one, just one. It's an individually boxed candy.
1883440	1890400	Yep, yep. So at first it might seem like this is a harder question to answer but actually because
1890400	1895200	you don't know anything, you only know the box. You haven't opened it. All you have to go off of
1895200	1904720	is 0.75 or strawberry and 0.25 or anchovy. And so you just multiply those by the values to get
1904720	1916880	the overall expected value of the candy. All right. Okay, let's see. All right, moving on to section
1916880	1925600	17, 17.19 rock paper scissors, fire water. This says given in the children's game, rock paper
1925600	1931840	scissors, each player reveals at the same time a choice, rock paper or scissors, paper beats rock,
1931840	1937280	rock beats scissors, scissors beats paper. Now we'll propose an extended version where we add two
1937280	1943680	more options, fire and water, fire beats rock paper and scissors, rock paper and scissors,
1943680	1951680	beat water and water beats fire. So write out the payoff matrix and find a mixed strategy solution
1951680	1961600	to this game. Okay, so to start with, this is what the payoff matrix looks like. So we'll say that
1962320	1969600	player, we'll call the two players, players A and B and we'll say that there is player A's move
1969920	1978000	is denoted on the row and player B's move is denoted on the column. And so then we see that, you know,
1978000	1984560	if both players play rock, if both players get 0, 0, that's a tie. If player A plays rock and
1984560	1990800	player B plays paper, paper wins, that's a minus one for player A and a plus one for player B.
1991440	1996640	And so on the scissors and fire and water and these extra things that have been added to the game.
1997600	2003280	But overall, just a breakdown of who wins and who loses under which combination of plays.
2004160	2010000	So then the second question asks, what's a strategy or how do you propose a strategy for this game?
2010560	2017600	So we'll propose a mixed strategy for A where we'll pick probabilities for playing each of the
2017600	2026000	different actions. So a little R for playing rock, a little P for playing paper, a little S for
2026000	2032080	playing scissors and so on. And moreover, since these are probabilities, the five of them would have
2032080	2041200	to sum to one. Then the payoff for A based on B's possible options are as follows. So if player B plays
2041200	2049680	rock, then player A would have a plus one if on the P chance that they play paper, which would be a
2049680	2057680	win. They'd have a minus S for losing if they played scissors. They'd have a plus F for if they
2058400	2064400	won with playing fire and they'd have a minus W if they lost playing water and they'd have essentially
2064400	2073440	a zero if they threw rock as well. And so this is just the breakdown for each of the options of
2073440	2080160	what B could play. And they say it's easy to see that no option is dominant over the whole region.
2080160	2085200	So what they say is solving for the intersection of hyperplanes. Essentially, if you make these
2085200	2090480	into hyperplanes and solve for their intersect, you would solve for it and you would get
2090480	2098000	RPS equals 1 over 9 and F equals W equals 1 over 3. And by symmetry, if you did the same thing
2098000	2107600	with B, you would get the same result. So all right. Okay. So that's I think that's the only
2107600	2117600	question from problem section 17. But now I think the next couple are about neural networks. So one second.
2119920	2124960	Okay. So this is a fun problem. A fairly important problem actually.
2124960	2135200	It says 18.24 constructed by hand, a neural network that computes the ZOR function of two inputs.
2135200	2141440	Make sure to specify what sorts of units you are using. And just for a reminder, or if you're
2141440	2148080	not familiar with it, ZOR is the exclusive OR function that's basically given two inputs A and B.
2148640	2156320	It will return true if and only if exactly one of A is true. Otherwise, if A and B are both true,
2156320	2163600	it will return zero or return false. And if B and A are both false, it will also return false.
2164560	2170160	And then another question to ask here is, is this a problem that can be solved with a single
2170160	2175920	layer perceptron? Okay. You know the answer to this. Okay. So this is what the network looks like.
2178080	2182960	I guess if people wanted to discuss ideas of how to make this work, because I don't know
2183760	2190000	people want to, we'll just go the network and look at it. So to do this, you'll need to define
2190800	2197280	some sort of threshold function. So we'll just say we have this threshold T and the T has a
2197280	2206000	parameter X. And so if we have T equals X and you have an input that's a value Y or whatever,
2206560	2214080	if Y is greater than X, you would return one. But if Y is less than X, you would return zero.
2214080	2220000	So you have a nonlinear activation function right here in the terms in the form of a thresholding
2220000	2227840	function. So then using this thresholding function, we can implement ZOR using this network.
2227840	2235280	However, this is a two layer neural network. And importantly, you cannot implement ZOR with a one
2235280	2240720	layer perceptron. It's impossible. And that was a very important mathematical result back in the
2240720	2246560	1960s when perceptrons were first introduced, because that helped to show that single layer networks
2246560	2252000	were intrinsically limited in the kinds of functions they could represent. But by adding multiple
2252000	2258960	layers, you could represent more complex functions. But overall, this is what the working ZOR
2258960	2264880	neural network looks like. And we can also test it to verify that it does correctly implement
2264880	2272640	the ZOR function. So for example, if A and B are both zero, well, we have our neural network,
2272640	2278320	and we have these weights on each of the edges. So on each of these weights, you would multiply by
2278320	2284400	the weight value. But because it's all zeros, you would wind up with a zero here. And then there's
2284400	2291920	a threshold here, but it would be zero. So it'd be zero here. This 0.3 times zero would be zero,
2291920	2296720	zero, zero, zero, zero, zero point, negative, zero point, six times zero, zero. It's just zeros
2296720	2302560	all over. And so the output is zero. So that's good. And then if you instead had one of the inputs
2302560	2308080	to be one, then on this top branch, we would have one times zero point three. So you'd have a zero
2308080	2312720	point three here. You have a one times zero point three here. So you have a zero point three here.
2312720	2319120	And this is too small. It's less than zero point five. So it doesn't activate the threshold here.
2319120	2325920	So this is a zero, a zero times negative zero point six. And in the end, you have so you have zero,
2325920	2331840	zero, zero, zero point three. These three terms sum to zero point three. They're input to the
2331840	2336400	this threshold now, but zero point three is high enough to beat this is your point two threshold.
2336400	2341680	So we get one. So that's good. So that's one other part of the ZOR that's working correctly.
2342480	2347280	And then I think it's pretty obvious that if you flip to this, if you had a equals zero,
2347360	2350720	be equals one, you would get the exact same thing. I think it's pretty obvious.
2351520	2359360	But the last thing to see is if you now make a and b both equal to one, will it do the ZOR thing
2359360	2365600	and return zero? So in this case, you have a one times zero point three that gets passed along
2365600	2370720	on the top branch. And the one times zero point three gets passed along on the top branch.
2370720	2375840	But then here in the middle branch, the whole point of this extra layer here in the middle is
2376320	2382480	to essentially make make the ZOR effect happen. So you have a 0.3 coming from here from one times
2382480	2388560	0.3 and a one times your point three, you get a 0.6, which is enough to beat the threshold.
2389200	2396800	You get a one out one times negative 0.6 gives you negative 0.6 here. So these terms now cancel out
2396800	2401920	and the input to the final threshold is zero. And then the output is zero. And overall,
2402480	2408240	it shows that it's a working ZOR function with a neural network. So yeah, overall,
2409840	2415200	this is obviously a very simplified neural network, but it does have all of the fundamentals
2415200	2423040	that even complex neural networks have, i.e. you have weights, you have inputs, you have
2423840	2428720	multiplication of weights with activations, you have summations of those activations,
2429520	2435280	and then you have nonlinear activation functions. So obviously, most of the time people are using
2435280	2444400	Ray-Lew, you know, that function or that function. But this would be a threshold-based nonlinear
2444400	2449440	activation function instead. And of course, you know, this is still a very simple neural network,
2449440	2455440	but the idea it showed with this very early result from like the 1960s was that a single layer
2455440	2460960	network cannot represent ZOR, but a multi layer network can. And so deeper and deeper networks
2460960	2467440	can represent more and more complex functions over time. Okay. All right. Yes.
2472080	2479920	Yeah, a single layer perceptron would be unable to implement the ZOR function. Yeah. Yep.
2480720	2492240	So yeah. All right. Okay. Now, another sort of simple or well, maybe not that simple, but another
2492240	2500240	problem related to neural networks, specifically training neural networks. So this is sort of a
2500240	2506080	funny idea, but suppose you have a training set that contains only a single example repeated
2506080	2512160	100 times already. This is a very bad training set. But now we're going to also make it even
2512160	2519600	worse, say that 80 out of the 100 samples, you put a value of one as the label on it. And on the
2519600	2525760	other 20, you put a value of zero as the label on it. So obviously, this network's not like learning
2525760	2532000	any trend based on the data. It's all the outputs are totally arbitrary. But regardless of what kind
2532000	2537840	of network you had, say you are optimizing this network through back propagation. And so you
2537840	2544320	gradually update it and tell you reach a global optimum. What would the back propagation network
2544320	2548880	eventually predict for this example, assuming that it has been trained until it reaches a global
2548880	2554240	optimum. And the hint is to find the global optimum, differentiate the error function and set it
2554240	2568160	to zero. So this is, it's time for some calculus, calculus. So to break it down, intuitively, the data
2568160	2574560	suggests that a probabilistic prediction, probably of output equals one equals 0.8 is appropriate.
2575360	2580000	And the network will adjust its weights to minimize the error function. So the error function,
2580000	2586480	in this case, you're using the squared error summation, one half summation over i, the samples
2587040	2594720	of yi, the ground truth, minus ai, the predicted value, a squared error. And so if you're optimizing
2594720	2601760	the network to minimize this error, you would want to essentially, you would compute what the
2601760	2609680	minimum of this error function is by looking for a local minimum with the calculus. But if we expand
2609680	2617280	this function, we know that 80 of the samples will have yi equal to one. So we have an 80 here and
2617280	2626160	we have a one here. And 20 of the samples will have yi equal to zero. So we have 20 here and zero
2626160	2633120	here. And so we can do the products and we can expand this and reduce the terms. And at the end,
